ref_commande;date_cde;reference_piece;designation;qte;poids_unitaire_g;entrepot
ND-000794;26-05-2026;SKU-10001;Plaquette de frein;21;5130;OMG-LYO
ND-001001;28-05-2026;SKU-10005;Bougie d'allumage;9;5900;OMG-MAR
ND-000753;31-12-2025;SKU-10005;Bougie d'allumage;8;5900;OMG-LYO
ND-000048;2026-06-22;SKU-10009;Retroviseur;22;3400;OMG-LIL
ND-000756;2025-12-30;SKU-10007;Courroie de distribution;11;7140;OMG-MAR
ND-000188;11/03/2026;SKU-10003;Filtre a huile;25;2240;OMG-MAR
ND-001183;29-03-2026;SKU-10010;Pare-chocs avant;1;290;OMG-LYO
ND-000279;16-09-2025;SKU-10001;Plaquette de frein;29;5130;OMG-LIL
ND-000162;18/01/2025;SKU-10009;Retroviseur;25;3400;OMG-LYO
ND-000109;2025-03-20;SKU-10009;Retroviseur;3;3400;OMG-LIL
ND-000334;11-11-2025;SKU-10001;Plaquette de frein;19;5130;OMG-MAR
ND-000287;05/06/2025;SKU-10003;Filtre a huile;3;2240;OMG-MAR
ND-000508;08-01-2026;SKU-10006;Amortisseur avant;12;5430;OMG-LYO
ND-000411;04-04-2026;SKU-10008;Batterie 12V;6;740;OMG-LIL
ND-000733;31/01/2026;SKU-10003;Filtre a huile;1;2240;OMG-LIL
ND-001266;21-03-2026;SKU-10005;Bougie d'allumage;19;5900;OMG-LIL
ND-001170;17-08-2025;SKU-10001;Plaquette de frein;31;5130;OMG-MAR
ND-001040;24-01-2025;SKU-10010;Pare-chocs avant;34;290;OMG-LIL
ND-000078;18-05-2026;SKU-10001;Plaquette de frein;38;5130;OMG-MAR
ND-000418;04/03/2026;SKU-10005;Bougie d'allumage;22;5900;OMG-LIL
ND-001338;15-06-2026;SKU-10001;Plaquette de frein;37;5130;OMG-MAR
ND-000725;29/06/2026;SKU-10010;Pare-chocs avant;12;290;OMG-LIL
ND-000806;11/01/2025;SKU-10008;Batterie 12V;7;740;OMG-LYO
ND-001259;2026-06-19;SKU-10005;Bougie d'allumage;39;5900;OMG-LYO
ND-000036;21-12-2025;SKU-10009;Retroviseur;36;3400;OMG-LYO
ND-001215;2025-07-16;SKU-10003;Filtre a huile;3;2240;OMG-MAR
ND-000274;2026-01-22;SKU-10007;Courroie de distribution;3;7140;OMG-MAR
ND-000439;29/05/2026;SKU-10008;Batterie 12V;13;740;OMG-LYO
ND-000689;11-03-2025;SKU-10004;Filtre a air;8;1820;OMG-LYO
ND-001392;10-04-2025;SKU-10004;Filtre a air;33;1820;OMG-LIL
ND-001259;19-06-2026;SKU-10001;Plaquette de frein;40;5130;OMG-LYO
ND-000454;24/05/2026;SKU-10004;Filtre a air;34;1820;OMG-LIL
ND-001271;2025-10-12;SKU-10004;Filtre a air;10;1820;OMG-MAR
ND-000513;18/06/2025;SKU-10004;Filtre a air;33;1820;OMG-MAR
ND-000756;30-12-2025;SKU-10001;Plaquette de frein;24;5130;OMG-MAR
ND-000854;27/07/2025;SKU-10008;Batterie 12V;18;740;OMG-MAR
ND-001116;2026-05-27;SKU-10009;Retroviseur;10;3400;OMG-LIL
ND-001291;27-06-2025;SKU-10002;Disque de frein;30;250;OMG-LIL
ND-000982;10/07/2025;SKU-10006;Amortisseur avant;29;5430;OMG-LIL
ND-001246;15-10-2025;SKU-10010;Pare-chocs avant;25;290;OMG-LIL
ND-001082;14/07/2025;SKU-10009;Retroviseur;1;3400;OMG-LIL
ND-001080;03-03-2025;SKU-10004;Filtre a air;32;1820;OMG-MAR
ND-001169;09-02-2025;SKU-10002;Disque de frein;19;250;OMG-LIL
ND-000747;27/11/2025;SKU-10010;Pare-chocs avant;19;290;OMG-MAR
ND-000950;2026-02-16;SKU-10008;Batterie 12V;2;740;OMG-MAR
ND-000056;2026-05-01;SKU-10009;Retroviseur;15;3400;OMG-LIL
ND-001336;25-04-2026;SKU-10009;Retroviseur;29;3400;OMG-LYO
ND-000816;2025-08-25;SKU-10005;Bougie d'allumage;32;5900;OMG-LYO
ND-000535;01-09-2025;SKU-10007;Courroie de distribution;24;7140;OMG-LYO
ND-000896;27-01-2026;SKU-10001;Plaquette de frein;1;5130;OMG-LYO
ND-000297;2026-04-26;SKU-10006;Amortisseur avant;36;5430;OMG-MAR
ND-000414;19-01-2026;SKU-10007;Courroie de distribution;29;7140;OMG-MAR
ND-001215;16/07/2025;SKU-10003;Filtre a huile;38;2240;OMG-MAR
ND-000215;2025-12-09;SKU-10004;Filtre a air;9;1820;OMG-LYO
ND-000498;2025-10-08;SKU-10005;Bougie d'allumage;23;5900;OMG-MAR
ND-000999;2026-05-10;SKU-10010;Pare-chocs avant;7;290;OMG-MAR
ND-001012;02-04-2025;SKU-10010;Pare-chocs avant;30;290;OMG-MAR
ND-000870;24/07/2026;SKU-10006;Amortisseur avant;6;5430;OMG-LIL
ND-000373;20/07/2026;SKU-10006;Amortisseur avant;4;5430;OMG-MAR
ND-000204;02/09/2025;SKU-10001;Plaquette de frein;32;5130;OMG-LYO
ND-000471;20/05/2025;SKU-10008;Batterie 12V;9;740;OMG-LYO
ND-000982;10/07/2025;SKU-10001;Plaquette de frein;9;5130;OMG-LIL
ND-001067;12-04-2025;SKU-10010;Pare-chocs avant;34;290;OMG-MAR
ND-001038;20/07/2025;SKU-10001;Plaquette de frein;36;5130;OMG-MAR
ND-000086;26/07/2025;SKU-10008;Batterie 12V;24;740;OMG-LYO
ND-000838;2025-03-24;SKU-10007;Courroie de distribution;5;7140;OMG-MAR
ND-000938;26/11/2025;SKU-10010;Pare-chocs avant;17;290;OMG-LYO
ND-001291;27-06-2025;SKU-10001;Plaquette de frein;32;5130;OMG-LIL
ND-001157;21-03-2026;SKU-10007;Courroie de distribution;6;7140;OMG-LIL
ND-001080;2025-03-03;SKU-10010;Pare-chocs avant;4;290;OMG-MAR
ND-000965;20-02-2025;SKU-10003;Filtre a huile;18;2240;OMG-MAR
ND-000833;20/11/2025;SKU-10001;Plaquette de frein;19;5130;OMG-LIL
ND-001238;05-03-2026;SKU-10001;Plaquette de frein;28;5130;OMG-MAR
ND-000881;20/03/2026;SKU-10009;Retroviseur;9;3400;OMG-LIL
ND-000529;25/07/2025;SKU-10010;Pare-chocs avant;7;290;OMG-LIL
ND-001161;14-01-2025;SKU-10010;Pare-chocs avant;5;290;OMG-LYO
ND-000439;29-05-2026;SKU-10005;Bougie d'allumage;25;5900;OMG-LYO
ND-000204;02-09-2025;SKU-10001;Plaquette de frein;23;5130;OMG-LYO
ND-000677;22-05-2025;SKU-10008;Batterie 12V;40;740;OMG-MAR
ND-000343;26-10-2025;SKU-10010;Pare-chocs avant;34;290;OMG-MAR
ND-000225;21-04-2026;SKU-10001;Plaquette de frein;11;5130;OMG-LIL
ND-001304;16-02-2026;SKU-10009;Retroviseur;26;3400;OMG-LIL
ND-000316;20-02-2025;SKU-10004;Filtre a air;35;1820;OMG-MAR
ND-000235;16-03-2025;SKU-10004;Filtre a air;19;1820;OMG-MAR
ND-001017;27-03-2026;SKU-10001;Plaquette de frein;23;5130;OMG-LIL
ND-001296;15-09-2025;SKU-10005;Bougie d'allumage;39;5900;OMG-LYO
ND-001248;20/02/2025;SKU-10002;Disque de frein;26;250;OMG-LYO
ND-000189;10/05/2025;SKU-10008;Batterie 12V;39;740;OMG-LYO
ND-000036;21-12-2025;SKU-10009;Retroviseur;28;3400;OMG-LYO
ND-001318;22/04/2025;SKU-10005;Bougie d'allumage;40;5900;OMG-MAR
ND-000363;2026-07-27;SKU-10003;Filtre a huile;34;2240;OMG-LYO
ND-000892;2025-03-27;SKU-10001;Plaquette de frein;25;5130;OMG-MAR
ND-000381;29-05-2025;SKU-10009;Retroviseur;40;3400;OMG-LIL
ND-000552;2025-09-16;SKU-10001;Plaquette de frein;17;5130;OMG-LYO
ND-000042;2026-01-03;SKU-10003;Filtre a huile;39;2240;OMG-LYO
ND-000323;27/03/2026;SKU-10006;Amortisseur avant;9;5430;OMG-MAR
ND-000001;2025-12-23;SKU-10005;Bougie d'allumage;40;5900;OMG-MAR
ND-000992;2025-04-04;SKU-10006;Amortisseur avant;21;5430;OMG-LYO
ND-000173;31-12-2025;SKU-10004;Filtre a air;24;1820;OMG-MAR
ND-000414;19-01-2026;SKU-10008;Batterie 12V;30;740;OMG-MAR
ND-000763;17-04-2026;SKU-10002;Disque de frein;1;250;OMG-MAR
ND-001017;27-03-2026;SKU-10008;Batterie 12V;30;740;OMG-LIL
ND-001118;2025-10-06;SKU-10009;Retroviseur;11;3400;OMG-LIL
ND-000933;2025-10-29;SKU-10005;Bougie d'allumage;28;5900;OMG-LYO
ND-000708;01/08/2025;SKU-10005;Bougie d'allumage;38;5900;OMG-LYO
ND-001197;24-07-2026;SKU-10010;Pare-chocs avant;4;290;OMG-MAR
ND-000464;07/03/2026;SKU-10004;Filtre a air;20;1820;OMG-LYO
ND-001200;29-08-2025;SKU-10002;Disque de frein;5;250;OMG-LIL
ND-000793;02-02-2026;SKU-10005;Bougie d'allumage;39;5900;OMG-LYO
ND-001165;12-08-2025;SKU-10009;Retroviseur;23;3400;OMG-LYO
ND-000229;2026-07-09;SKU-10002;Disque de frein;37;250;OMG-MAR
ND-001332;2026-03-20;SKU-10001;Plaquette de frein;10;5130;OMG-MAR
ND-001158;20/06/2025;SKU-10002;Disque de frein;11;250;OMG-LYO
ND-000038;2025-06-16;SKU-10007;Courroie de distribution;25;7140;OMG-MAR
ND-000609;07-09-2025;SKU-10001;Plaquette de frein;9;5130;OMG-MAR
ND-000876;07/01/2025;SKU-10008;Batterie 12V;25;740;OMG-LYO
ND-000727;27/03/2025;SKU-10006;Amortisseur avant;27;5430;OMG-LIL
ND-000748;24/04/2025;SKU-10005;Bougie d'allumage;10;5900;OMG-MAR
ND-001335;03-05-2025;SKU-10003;Filtre a huile;4;2240;OMG-LYO
ND-001157;21/03/2026;SKU-10007;Courroie de distribution;29;7140;OMG-LIL
ND-000210;30-09-2025;SKU-10009;Retroviseur;11;3400;OMG-MAR
